site,latitude,longitude,sulfate,where
Alili Tunnel ,19.2325,-155.5213889,8.38,arc_int
Haao Tunnel ,19.09083333,-155.6241667,44.65,arc_int
Hawaiian Paradise 1,19.59638889,-155.9761111,10.9,arc_int
Hawaiian Shores 1 (Beaches),19.52027778,-155.9327778,20.305,arc_int
Hawaiian Shores 2,19.52388889,-154.9288889,5.85,arc_int
Helco Kan 6-2,19.70611111,-155.0630556,2.6,arc_int
Hilo Airport,19.71333333,-155.0458333,29.33333333,arc_int
Hilo Electric Well(Waiakea),19.70777778,-155.0644444,2.6,arc_int
Honuapo 1,19.09972222,-155.5502778,,arc_int
Honuapo 2,19.10055556,-155.5497222,16.3,arc_int
Honuapo 3,19.09916667,-155.5505556,86,arc_int
Honuapo Mill,19.09444444,-155.5513889,90.5,arc_int
Kanoelehua 1,19.70611111,-155.0638889,,arc_int
Kanoelehua 2,19.70638889,-155.0636111,5,arc_int
Kanoelehua 3,19.70666667,-155.0638889,3.8,arc_int
Kapoho Crater ,19.50444444,-155.8391667,10.61428571,arc_int
Kapoho Shaft,19.50472222,-155.8391667,20.95,arc_int
Keaau (Shipman),19.63666667,-155.0708333,6.875,arc_int
Keaau 1,19.63388889,-155.0338889,8.375,arc_int
Keaau 2,19.63416667,-155.0338889,5.6,arc_int
Keaau Mill 1 ,19.63444444,-155.0338889,7.875,arc_int
Keaau Mill 2,19.635,-155.0338889,5.5,arc_int
Keaau Mill 3,19.63527778,-155.0338889,7.75,arc_int
Keaau Orchard 1,19.66027778,-155.0119444,10.47333333,arc_int
Keaau Orchard 2,19.65944444,-155.0125,21.25,arc_int
Keauohana 1,19.41555556,-155.9552778,24.88333333,arc_int
Keauohana 2,19.41583333,-155.955,16.2,arc_int
Keonepoko Nui,19.51805556,-154.9675,4.845,arc_int
Naalehu 1,19.06305556,-155.5952778,13,arc_int
New Mountain House Tunnel ,19.15833333,-155.6158333,17.575,arc_int
Ninole A,19.14222222,-155.5188889,26,arc_int
Ninole B,19.14222222,-155.5191667,28.3,arc_int
Ninole GU TH 1,19.14138889,-155.5197222,37,arc_int
Olaa 3,19.60888889,-155.0536111,12.7,arc_int
Olaa Flume Tunnel,19.70027778,-155.1875,10,arc_int
Olaa mil Well,19.63611111,-155.0347222,6.2,arc_int
Olaa Shaft ,19.6325,-155.0333333,5.5575,arc_int
Pahala,19.20694444,-155.4894444,7.01,arc_int
Pahala Shaft,19.19916667,-155.4802778,9.65,arc_int
Pahoa Battery 2A,19.49027778,-155.9461111,14.54285714,arc_int
Pahoa Battery 2B,19.49,-155.9463889,13.25,arc_int
Pahoa Battery 2B,19.4925,-155.95,13,arc_int
Palima,19.18555556,-155.4688889,3.8,arc_int
Palima,19.18555556,-155.4711111,7.5,arc_int
Panaewa 1,19.67638889,-155.0652778,7.5,arc_int
Panaewa 2,19.67777778,-155.0644444,436.95,arc_int
Papaikou,19.7875,-155.1036111,36.94,arc_int
Piihonua A,19.72166667,-155.105,66,arc_int
Pulama,19.35194444,-155.0366667,10,arc_int
Pulama,19.35416667,-155.0375,2427,arc_int
Punaluu,19.14111111,-155.5077778,2700,arc_int
Volcano TH 1,19.46722222,-155.2533333,2.2,arc_int
Volcano TH 3,19.46527778,-155.2505556,2.8,arc_int
Volcano TH 4,19.46194444,-155.2486111,25,arc_int
Wai Pahoehoe,19.58805556,-155.0136111,3.74,arc_int
Waiakea ,19.72694444,-155.0716667,821.9733333,arc_int
Waiakea 4,19.70611111,-155.0641667,2.6,arc_int
Waiakea TH 2,19.70638889,-155.0644444,5.05,arc_int
Waiakea TH 3,19.70833333,-155.0633333,2.25,arc_int
Allison (Pohoiki Puna),19.47194444,-154.8527778,329.1,arc_int
Kapoho  (Airstrip),19.50666667,-154.8663889,149.68,arc_int
Kapoho  (Airstrip),19.50833333,-154.8730556,149.68,arc_int
Malama Ki,19.45777778,-154.8836111,602.8,arc_int
Malama Ki 2,19.45833333,-154.8833333,602.8,arc_int
Puna Geothermal MW 1,19.48555556,-154.8941667,274.4,arc_int
Puna Geothermal MW 2,19.47666667,-154.8916667,95.55,arc_int
Puna Geothermal MW 3,19.48611111,-154.8944444,195,arc_int
Puna Thermal TH 2,19.4425,-154.9466667,,arc_int
Puna Thermal TH 3,19.48694444,-154.8819444,291.1666667,arc_int
Puna Thermal TH 4,19.51083333,-154.8552778,160,arc_int
0436-S1,19.08277778,-154.3858333,18.7,haw_surf
0631-S1,19.11416667,-154.4708333,47.85,haw_surf
0829-S1,19.14333333,-154.5158333,106.5,haw_surf
0830-S1,19.13583333,-154.4916667,57.3,haw_surf
0926-S1,19.15972222,-154.5536111,93,haw_surf
0926-S2,19.16527778,-154.5605556,89.4,haw_surf
0927-S1,19.15277778,-154.5469444,162,haw_surf
1420-S1,19.24,-154.6666667,1310,haw_surf
1511-S1,19.26305556,-154.8022222,246,haw_surf
1518-S1,19.265,-154.6969444,526,haw_surf
1615-S1,19.27416667,-154.7419444,401,haw_surf
1615-S2,19.27333333,-154.7377778,543,haw_surf
1617-S1,19.26666667,-154.7036111,546.5,haw_surf
1617-S2,19.26833333,-154.7111111,317,haw_surf
2634-S1,19.44083333,-154.4197222,7.14,haw_surf
2735-S1,19.46472222,-154.4147222,11.3,haw_surf
2780-S1,19.46111111,-153.1541667,537.75,haw_surf
2780-S2,19.46527778,-153.1608333,509,haw_surf
2880-S1,19.46666667,-153.1619444,2.39,haw_surf
2934-S1,19.44611111,-154.4202778,13.6,haw_surf
2979-S1,19.49388889,-153.175,514,haw_surf
2979-S2,19.49194444,-158.1747222,1.57,haw_surf
3080-S1,19.50527778,-153.1580556,1.82,haw_surf
3080-S1,19.50555556,-153.1577778,,haw_surf
3178-S1,19.52083333,-153.1905556,34.5,haw_surf
3889-S1,19.64527778,-153.0113889,34.5,haw_surf
3889-S2,19.64722222,-153.0141667,31.7,haw_surf
8836-S1,18.97444444,-154.385,46.7,haw_surf
8836-S2,18.975,-154.385,34.13875,haw_surf
8837-S1,18.97555556,-154.3830556,,haw_surf
